task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.268,0.014006284303840188
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,3,0.232,0.013348258313353095
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,5,0.05,0.006892024376045111
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.022,0.0046385342512479085
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.069,0.008014923580421713
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.085,0.008819013550278738
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.162,0.011651437679531225
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,5,0.086,0.008865889690267977
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,10,0.069,0.008014923580421713
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.061,0.0075682891065286355
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.063,0.007683163410991596
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.091,0.009094998625618368
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.149,0.01126050620531777
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,10,0.072,0.008174105455644672
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,20,0.135,0.010806248192596726
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.135,0.010806248192596726
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.163,0.011680368144883106
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.171,0.011906258858264422
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.186,0.012304633273690036
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,20,0.143,0.011070275515993266
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,30,0.259,0.013853483316480371
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.219,0.013078187947877183
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.244,0.013581752464244074
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.28,0.014198591479439079
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.309,0.014612289348353324
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,30,0.245,0.013600551459407815
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,2,0.057,0.007331507348424334
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.026,0.0050322956987840055
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
