task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,0.997,0.0017294507798720387
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,0.5,2,0.06,0.007509993342207435
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.023,0.004740358636221525
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.688,0.014651143300097778
Hopper-v5,SAC,TD3,permutation,0.01,0.5,2,0.672,0.014846413708367418
Hopper-v5,SAC,TD3,t-test,0.01,0.5,3,0.116,0.010126401137620413
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.067,0.007906389820898032
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.518,0.01580113919943749
Hopper-v5,SAC,TD3,permutation,0.01,0.5,3,0.56,0.015697133496278867
Hopper-v5,SAC,TD3,t-test,0.01,0.5,5,0.108,0.009815090422405696
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.09,0.009049861877399014
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.019,0.004317290817167636
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.038,0.006046155803483731
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.374,0.015301111070768685
Hopper-v5,SAC,TD3,permutation,0.01,0.5,5,0.332,0.014892145580808697
Hopper-v5,SAC,TD3,t-test,0.01,0.5,10,0.171,0.011906258858264422
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.126,0.010493998284733994
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.07,0.008068457101577725
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.087,0.00891240708226459
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.247,0.013637851736985557
Hopper-v5,SAC,TD3,permutation,0.01,0.5,10,0.228,0.013267102170406317
Hopper-v5,SAC,TD3,t-test,0.01,0.5,20,0.222,0.013142145943490356
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.227,0.013246546719805883
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.17,0.011878552100319299
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.22,0.013099618315050252
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.263,0.013922320208930694
Hopper-v5,SAC,TD3,permutation,0.01,0.5,20,0.203,0.012719709116170857
Hopper-v5,SAC,TD3,t-test,0.01,0.5,30,0.309,0.014612289348353324
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.313,0.014663935351739656
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.328,0.014846413708367418
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.363,0.015206281596761254
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.289,0.0143345387090063
Hopper-v5,SAC,TD3,permutation,0.01,0.5,30,0.284,0.014259873772232347
Hopper-v5,SAC,TD3,t-test,0.01,1.0,2,0.144,0.011102432165971562
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.058,0.007391616873188166
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.712,0.014319776534569246
Hopper-v5,SAC,TD3,permutation,0.01,1.0,2,0.731,0.014022802858202064
Hopper-v5,SAC,TD3,t-test,0.01,1.0,3,0.245,0.013600551459407815
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.199,0.012625331678811452
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.001,0.0009994998749374609
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.619,0.015357050498061143
Hopper-v5,SAC,TD3,permutation,0.01,1.0,3,0.603,0.01547226550961429
Hopper-v5,SAC,TD3,t-test,0.01,1.0,5,0.317,0.014714312760030624
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.177,0.012069424178476784
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.053,0.00708456067798138
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.153,0.011383804285035824
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.497,0.01581110369329099
Hopper-v5,SAC,TD3,permutation,0.01,1.0,5,0.421,0.015612783224012302
Hopper-v5,SAC,TD3,t-test,0.01,1.0,10,0.392,0.015438134602341048
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.39,0.01542400726140908
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.235,0.013408019988051927
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.268,0.014006284303840188
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.456,0.015750047618975634
Hopper-v5,SAC,TD3,permutation,0.01,1.0,10,0.423,0.015622771841129857
Hopper-v5,SAC,TD3,t-test,0.01,1.0,20,0.638,0.015197236590906913
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.663,0.014947608504372864
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.58,0.015607690412101338
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.636,0.015215255502291114
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.686,0.01467664811869522
Hopper-v5,SAC,TD3,permutation,0.01,1.0,20,0.67,0.014869431730903503
Hopper-v5,SAC,TD3,t-test,0.01,1.0,30,0.851,0.011260506205317771
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.856,0.011102432165971564
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.805,0.012528966437819202
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.817,0.012227469075814505
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.868,0.010704017937204702
Hopper-v5,SAC,TD3,permutation,0.01,1.0,30,0.835,0.011737759581794136
Hopper-v5,SAC,TD3,t-test,0.01,2.0,2,0.343,0.015011695440555674
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.136,0.010839926199010766
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.79,0.01288021738946979
Hopper-v5,SAC,TD3,permutation,0.01,2.0,2,0.788,0.012925014506761683
Hopper-v5,SAC,TD3,t-test,0.01,2.0,3,0.406,0.015529455882290275
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.276,0.014135911714495106
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.712,0.014319776534569246
Hopper-v5,SAC,TD3,permutation,0.01,2.0,3,0.589,0.015558888135082147
Hopper-v5,SAC,TD3,t-test,0.01,2.0,5,0.611,0.015416841440450765
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.532,0.01577897335063343
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.205,0.0127661662216971
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.355,0.015131919904625453
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.698,0.01451881537867329
Hopper-v5,SAC,TD3,permutation,0.01,2.0,5,0.519,0.01579996835439869
Hopper-v5,SAC,TD3,t-test,0.01,2.0,10,0.867,0.010738295954200556
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.844,0.011474493452871897
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.463,0.015768037290671277
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.519,0.01579996835439869
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.883,0.010164201887015036
Hopper-v5,SAC,TD3,permutation,0.01,2.0,10,0.858,0.011037934589405756
Hopper-v5,SAC,TD3,t-test,0.01,2.0,20,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,20,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.86,0.010972693379476163
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.881,0.010239091756596383
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,20,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,permutation,0.01,2.0,20,0.997,0.0017294507798720387
Hopper-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,0.976,0.004839834707921338
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,0.97,0.0053944415837044735
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,2,0.082,0.008676174272108648
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.026,0.0050322956987840055
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.42,0.015607690412101338
Hopper-v5,SAC,DDPG,permutation,0.05,0.5,2,0.43,0.015655669899432602
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,3,0.045,0.0065555320150236475
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.032,0.005565608681896348
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.226,0.013225883713385657
Hopper-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.282,0.014229406171727617
Hopper-v5,SAC,DDPG,permutation,0.05,0.5,3,0.143,0.011070275515993266
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,5,0.077,0.00843036179532053
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.073,0.008226238508577295
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.115,0.010088359628799918
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.176,0.012042591083317577
Hopper-v5,SAC,DDPG,bootstrap,0.05,0.5,5,0.205,0.0127661662216971
Hopper-v5,SAC,DDPG,permutation,0.05,0.5,5,0.09,0.009049861877399014
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,10,0.153,0.011383804285035824
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,10,0.165,0.011737759581794134
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,10,0.317,0.014714312760030624
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,10,0.337,0.014947608504372866
Hopper-v5,SAC,DDPG,bootstrap,0.05,0.5,10,0.241,0.013524755080961725
Hopper-v5,SAC,DDPG,permutation,0.05,0.5,10,0.153,0.011383804285035824
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,20,0.295,0.01442133835675455
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,20,0.329,0.014857960829131298
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,20,0.599,0.015498354751392161
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,20,0.555,0.01571543826942157
Hopper-v5,SAC,DDPG,bootstrap,0.05,0.5,20,0.412,0.015564575162849772
Hopper-v5,SAC,DDPG,permutation,0.05,0.5,20,0.304,0.014545927265045703
Hopper-v5,SAC,DDPG,t-test,0.05,0.5,30,0.481,0.01579996835439869
Hopper-v5,SAC,DDPG,Welch t-test,0.05,0.5,30,0.449,0.015728922404284407
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,30,0.744,0.013800869537822608
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,0.5,30,0.725,0.014120021246442939
Hopper-v5,SAC,DDPG,bootstrap,0.05,0.5,30,0.518,0.01580113919943749
Hopper-v5,SAC,DDPG,permutation,0.05,0.5,30,0.478,0.015796075461962062
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,2,0.116,0.010126401137620413
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,2,0.07,0.008068457101577725
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,bootstrap,0.05,1.0,2,0.515,0.01580427157448264
Hopper-v5,SAC,DDPG,permutation,0.05,1.0,2,0.484,0.015803290796539814
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,3,0.102,0.009570579919733181
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,3,0.048,0.006759881655768835
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,3,0.369,0.015259062880793171
Hopper-v5,SAC,DDPG,bootstrap,0.05,1.0,3,0.484,0.015803290796539814
Hopper-v5,SAC,DDPG,permutation,0.05,1.0,3,0.304,0.014545927265045703
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,5,0.254,0.013765318739498916
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,5,0.244,0.013581752464244074
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,5,0.293,0.014392741226048637
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,5,0.424,0.01562766777225572
